,nombreestablecimiento,Primary,Secondary,Middle,Preschool,Childcare,bilingual,public,lat,lon
251,INST EDUC DIST FE Y ALEGRIA JOSE MARIA VELAZ,True,True,True,True,False,False,True,4.744591799999999,-74.1121225
252,GIMN MAKARENKO                                                                                      ,True,True,True,True,False,True,False,4.7171455,-74.1167447
253,COL COOP COMUNAL TABORA                                                                             ,False,True,True,False,False,True,False,4.6926237,-74.10089959999999
254,LIC LEON DE GREIFF                                                                                  ,True,True,True,True,False,True,False,4.7437834,-74.0991138
255,COL MILITAR COOP JUSTINIANO QUIÑONEZ ANGULO,True,True,True,True,False,False,False,4.617857,-74.15461719999999
256,GIMN LOS PINOS                                                                                      ,True,True,True,True,False,False,False,4.7697631,-74.0308934
257,COL NUEVA VIDA CIUDAD BOLIVAR                                                                       ,True,False,False,True,False,True,False,4.5579626,-74.1494684
258,COLEGIO ALQUERIA DE LA FRAGUA (IED),True,True,True,True,False,False,True,4.605003099999999,-74.136121
259,COL DE LA SANTISIMA EUCARISTIA                                                                      ,True,False,False,True,False,False,False,4.7391808,-74.0309846
260,GIMNASIO MODELIA REAL,True,True,True,True,False,False,False,4.67085,-74.1212074
261,GIMN BOSQUES DEL NOGAL                                                                              ,True,True,True,True,False,False,False,4.741946,-74.11352380000001
262,COLEGIO PRADO VERANIEGO (IED),True,True,True,True,False,False,True,4.7171151,-74.0543616
263,COL CAMPESTRE MAXIMINO POITIERS                                                                     ,True,True,True,True,False,True,False,4.7443946,-74.08440139999999
